City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new plymouth,-39.0667,174.0833,49.32,65,62,7.92,NZ,1682612152
83,uturoa,-16.7333,-151.4333,81.73,79,18,10.8,PF,1682612283
84,ganye,8.4333,12.0667,96.82,24,97,10.02,NG,1682612285
85,marsassoum,12.8275,-15.9806,95.09,12,100,6.93,SN,1682612286
86,nabire,-3.3667,135.4833,78.12,90,100,2.06,ID,1682612288
87,port mathurin,-19.6833,63.4167,79.27,80,42,15.19,MU,1682612289
88,praia da vitoria,38.7333,-27.0667,70.05,64,40,23.38,PT,1682612213
89,marka,1.7159,44.7717,83.66,74,100,14.34,SO,1682612291
90,klyuchi,52.2667,79.1667,62.58,44,100,8.37,RU,1682612293
91,kerikeri,-35.2268,173.9474,52.92,93,100,3.42,NZ,1682612294
92,longyearbyen,78.2186,15.6401,28.24,69,0,13.8,SJ,1682612296
93,san antonio de pale,-1.4014,5.6325,82.98,70,98,1.68,GQ,1682612297
94,howard springs,-12.497,131.047,80.51,95,74,5.01,AU,1682612298
95,toliara,-23.35,43.6667,74.21,73,0,16.31,MG,1682612300
96,stanley,54.868,-1.6985,51.71,68,20,6.91,GB,1682612301
97,vyalikaya byerastavitsa,53.196,24.0166,47.82,60,97,11.99,BY,1682612302
98,flin flon,54.7682,-101.865,33.78,92,100,9.93,CA,1682612303
99,sovetskiy,61.3614,63.5842,35.83,94,100,9.08,RU,1682612304
100,dudinka,69.4058,86.1778,13.62,99,90,2.17,RU,1682612306
101,zaxo,37.1482,42.7001,70.2,42,92,9.48,IQ,1682612307
102,san patricio,28.017,-97.5169,71.55,83,85,13.98,US,1682612308
103,otjimbingwe,-22.35,16.1333,86.43,29,8,15.55,NA,1682612309
104,altai,46.3722,96.2583,19.96,47,4,4.65,MN,1682612311
105,el bauga,18.262,33.9081,97.95,10,98,12.03,SD,1682612312
106,kaohsiung,22.6163,120.3133,80.55,70,75,4.61,TW,1682612096
107,zaragoza,41.6561,-0.8773,88.02,24,0,5.75,ES,1682612315
108,camayenne,9.535,-13.6878,87.89,58,0,16.11,GN,1682612316
109,noumea,-22.2763,166.4572,75.99,99,100,13.62,NC,1682612317
110,ma'rib,15.4591,45.3253,86.63,26,53,5.17,YE,1682612319
111,tamandare,-8.7597,-35.1047,83.07,73,78,7.36,BR,1682612320
112,sur,22.5667,59.5289,80.8,65,8,6.71,OM,1682612321
113,constantia,44.1833,28.65,54.7,54,100,19.24,RO,1682612322
114,piwniczna-zdroj,49.4406,20.7142,48.96,10,98,4.92,PL,1682612324
115,college,64.8569,-147.8028,34.2,72,75,0.0,US,1682612325
116,sao joao da barra,-21.6403,-41.0511,87.89,63,6,5.14,BR,1682612326
117,melekeok village,7.4957,134.6367,81.16,89,75,4.61,PW,1682612327
118,bonthe,7.5264,-12.505,87.67,61,13,11.7,SL,1682612329
119,gulariya,28.2333,81.3333,85.17,20,18,3.67,NP,1682612330
120,leh,34.1667,77.5833,34.99,63,93,6.04,IN,1682612331
121,kingston,17.997,-76.7936,85.24,77,58,8.99,JM,1682612117
122,georgetown,5.4112,100.3354,80.53,94,20,0.0,MY,1682612112
123,wewak,-3.5534,143.6268,79.7,84,100,2.35,PG,1682612335
124,minas de marcona,-15.2119,-75.1103,70.43,64,12,12.3,PE,1682612336
125,afaahiti,-17.75,-149.2833,75.07,82,63,11.68,PF,1682612337
126,udachny,66.4167,112.4,10.69,96,54,3.78,RU,1682612339
127,salinas,36.6777,-121.6555,77.56,64,0,8.05,US,1682612340
128,beyneu,45.3167,55.2,74.17,40,100,1.81,KZ,1682612341
129,mrkonjic grad,44.4158,17.0861,53.67,57,40,5.17,BA,1682612342
130,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,51,0,6.71,RU,1682612344
131,vadso,70.0744,29.7487,43.68,75,0,16.11,NO,1682612345
132,bilibino,68.0546,166.4372,-0.27,89,11,4.99,RU,1682612346
133,tiksi,71.6872,128.8694,7.41,86,5,4.05,RU,1682612348
134,shinkafi,13.0753,6.5105,97.9,21,92,7.61,NG,1682612349
135,arar,30.9753,41.0381,86.02,7,20,6.91,SA,1682612350
136,tokmok,42.8417,75.3016,60.21,43,1,6.15,KG,1682612352
137,hanzhong,33.0728,107.0303,62.67,57,100,4.88,CN,1682612353
138,thompson,55.7435,-97.8558,37.56,56,0,11.5,CA,1682612354
139,ilulissat,69.2167,-51.1,29.95,72,46,5.23,GL,1682612355
140,nova sintra,14.8667,-24.7167,68.52,75,10,15.17,CV,1682612356
141,grand falls-windsor,48.9332,-55.6649,48.51,61,44,1.01,CA,1682612358
142,vicencia,-7.6569,-35.3267,91.15,44,59,9.01,BR,1682612359
143,mil'kovo,55.6078,37.7956,66.4,63,91,5.97,RU,1682612360
144,boca chica,18.4537,-69.6111,87.37,70,40,6.91,DO,1682612362
145,zemio,5.0314,25.1361,75.67,74,96,3.06,CF,1682612363
146,susanville,40.4163,-120.653,67.12,38,0,1.99,US,1682612365
147,kristiansund,63.1115,7.732,41.65,81,75,19.57,NO,1682612367
148,la passe,45.5549,-0.8967,73.63,80,100,8.93,FR,1682612368
149,port augusta,-32.5,137.7667,61.41,68,19,3.96,AU,1682612370
150,la huerta,19.4667,-104.65,73.89,25,25,3.0,MX,1682612371
151,ji'an,27.1172,114.9793,70.47,77,99,4.14,CN,1682612372
152,clearfield,41.1253,-78.75,58.75,40,0,3.44,US,1682612374
